"Algún contenido ha sido publicado.","Comentario creado","Curso visto","Entrega creada.","Finalización de actividad de curso actualizada","Formulario de entrega visto.","Ha comenzado el intento","Intento de cuestionario visualizado","Intento del cuestionario revisado","Intento enviado","Mensaje creado","Módulo de curso visto","Perfil de usuario visto","Resumen del intento de cuestionario visualizado","Se ha enviado una entrega","Se ha suscrito a esta discusión","Se ha visualizado el estado de la entrega.","Tema creado","Tema visto","Un fichero ha sido subido.","Usuario calificado","Lista de usuarios vista","Mensaje borrado","Se ha borrado la suscripción de esta discusión","Tema borrado","Informe de notas de usuario visto","Mensaje actualizado","Instancia del módulo del curso visualizada","Informe de resumen de notas visto","Lista de insignias vista","Envío actualizado.","Usuario matriculado en el curso","Elemento de calificación actualizado","Informe del usuario visualizado","Informe usuario del curso visto","Suscripción activada","Curso actualizado","Elemento de calificación creado",completo
"4","0","401","0","10","0","1","4","3","1","2","111","3","2","0","2","2","1","73","0","1","11","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0",1
"10","0","157","1","5","2","1","2","2","1","2","47","2","1","1","9","2","8","14","1","1","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0",1
"1","0","88","0","10","0","1","1","0","0","0","32","0","0","0","0","0","1","10","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",0
"0","0","336","0","0","0","2","10","2","1","0","99","7","2","0","0","1","0","68","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","34","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"6","0","223","0","0","0","1","12","2","1","0","73","0","1","0","3","2","5","65","0","1","1","0","0","0","0","1","13","0","0","0","0","0","0","0","1","0","0",1
"2","0","566","0","5","0","0","0","0","0","0","114","1","0","0","1","2","1","99","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0",1
"1","0","145","0","0","0","0","0","0","0","1","27","2","0","0","1","0","0","7","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"0","0","26","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","193","0","0","0","0","0","0","0","0","61","1","0","0","0","2","0","47","0","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0",0
"0","0","166","0","3","0","0","0","0","0","0","39","3","0","0","1","1","0","21","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",0
"0","0","60","0","0","0","0","0","0","0","0","22","4","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
